ip,up,upt,dn,dnt
87.98,31357,1375473971.541367,432498,1375474724.541635
63.236,19693,1375473146.541396,1082946,1375473146.541396
74.125,832900,1375473791.541372,1918029,1375473053.541415
17.173,12242,1375473416.543216,11731,1375473206.541464
141.0,1456,1375473401.541384,99290,1375473401.541384
130.239,37335,1375472927.541997,1695514,1375472924.543014
74.120,23882,1375475249.541494,1116082,1375475249.541494
64.50,20917,1375472894.542355,1320000,1375472894.542355
97.74,62992,1375473254.541366,635850,1375474874.542789
200.24,6232,1375473026.541429,163960,1375472885.541946
184.27,42708,1375473497.545189,2031666,1375474109.541374
184.28,51922,1375473329.541371,2613370,1375474514.541548
69.171,211604,1375473224.542234,55472,1375473941.542257
72.26,2666,1375474694.541336,69131,1375473551.541997
173.194,47960,1375473845.541407,2333812,1375474067.541336
166.78,3884,1375474505.541947,41184,1375474364.541816
176.58,18378,1375473449.543016,303326,1375473152.54184
190.200,43,1375472885.541946,105,1375472885.541946
68.206,43,1375472885.541946,105,1375474910.541476
210.89,43,1375472885.541946,0,-1
162.197,43,1375472885.541946,0,-1
98.110,43,1375472885.541946,105,1375472885.541946
184.85,26369,1375474997.547383,737788,1375473200.541477
112.158,43,1375472885.541946,0,-1
177.40,43,1375472885.541946,98,1375472888.542325
178.206,43,1375472885.541946,101,1375472891.541604
24.9,43,1375472885.541946,0,-1
195.114,43,1375472885.541946,18,1375474535.541491
173.246,16074,1375475153.541586,100872,1375475153.541586
184.173,17114,1375473230.541521,447147,1375474418.544376
50.22,6589,1375473476.541397,187431,1375473476.541397
49.205,43,1375472885.541946,0,-1
50.23,65730,1375473590.541601,377490,1375475324.541326
125.44,43,1375472885.541946,98,1375472897.541667
123.201,12136,1375473014.541678,1642,1375473014.541678
117.228,40,1375472885.541946,0,-1
54.225,173745,1375472921.543137,121964,1375473017.541613
216.200,53560,1375474097.541393,297840,1375474148.542472
71.19,1276,1375475885.541585,8880,1375473224.542234
204.13,2618,1375474625.541555,13242,1375474625.541555
177.44,43,1375472885.541946,18,1375472885.541946
50.62,11762,1375473749.543021,178208,1375473749.543021
17.172,8639,1375475327.541391,27028,1375474979.541417
129.128,11173,1375473332.541426,447910,1375473332.541426
17.158,14821,1375474052.542413,38572,1375474553.541629
171.70,8706,1375472957.541335,12954,1375472930.541547
