ip,up,upt,dn,dnt
23.5,286,1375474539.259,55589,1375472895.111
212.139,502,1375473579.276,5363,1375474176.11
17.149,5151,1375473102.1065,6875,1375473105.155
157.56,116724,1375474620.439,31019,1375474527.32
173.192,1891,1375475211.437,3166,1375474878.192
207.200,4713,1375474707.331,10159,1375473837.1662
144.63,4064,1375472895.111,20659,1375472895.111
81.30,43,1375472892.689,105,1375475100.162
123.10,43,1375472892.689,0,-1
17.154,23617,1375473345.117,18153,1375473414.382
64.4,12443,1375474476.58,29119,1375474449.1198
204.244,2891,1375475034.215,6699,1375475244.425
79.85,43,1375472892.689,0,-1
79.131,91260,1375474101.136,45297,1375474290.192
98.138,8489,1375475235.84,14685,1375475181.197
94.100,30,1375472892.689,15,1375472892.689
199.16,2224,1375475385.338,6724,1375473495.20
208.118,9503,1375473678.496,154714,1375474812.1097
94.143,43,1375472892.689,53,1375472892.689
92.97,43,1375472892.689,105,1375473333.83
178.22,43,1375472892.689,0,-1
178.68,43,1375472892.689,0,-1
62.198,87,1375472892.689,203,1375472895.111
180.254,43,1375472892.689,101,1375472892.689
88.206,87,1375472892.689,53,1375472895.111
64.250,54,1375472892.689,69,1375474875.63
207.251,69,1375472892.689,69,1375472892.689
88.230,43,1375472892.689,101,1375472892.689
174.113,56,1375472910.60,32,1375472910.60
92.98,43,1375472892.689,101,1375473273.1279
188.6,43,1375472892.689,101,1375473363.269
157.55,5691,1375474551.16,85298,1375474017.1386
111.221,1787,1375473489.248,2010,1375473609.4
129.6,72,1375474623.95,107,1375474875.63
200.83,40,1375475046.238,0,-1
75.126,3129,1375473036.2431,11038,1375473036.2431
81.97,0,-1,98,1375472892.689
205.203,397,1375473486.45,16314,1375472925.31
193.104,1058,1375472907.88,15703,1375472907.88
54.243,19604,1375474170.123,673252,1375473747.729
78.141,497,1375473969.383,484,1375475031.1564
72.46,198751,1375472988.67,242490,1375473636.37
90.46,87,1375472895.111,210,1375472901.868
119.149,43,1375472895.111,0,-1
202.100,43,1375472895.111,0,-1
70.70,87,1375472895.111,203,1375472895.111
198.23,1971,1375473786.1748,2459,1375473222.1598
31.25,87,1375472895.111,53,1375472895.111
